7,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: July 1, 2023 and July-September 2023"
7,"h","","","","","","","",""
7,"h","","","July-September","July-September","July-September","July-September","July-September","July-September"
7,"h","State","July 1","","","","","",""
7,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
7,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","Renovated 4/"
7,"h","","","","","","","",""
7,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
7,"d","Alabama",15000,15000,2400,16,1200,2700,18
7,"d","Arizona",30000,30000,4600,15,3000,790,3
7,"d","Arkansas",19500,34000,1000,3,3600,390,1
7,"d","California",570000,600000,32000,5,21000,61000,10
7,"d","Colorado",23000,26000,6500,25,170,2300,9
7,"d","Connecticut",3700,4100,120,3,140,150,4
7,"d","Florida",245000,290000,34000,12,44000,21000,7
7,"d","Georgia",126000,133000,23000,17,17000,10500,8
7,"d","Idaho",125000,154000,8000,5,1800,11000,7
7,"d","",,,,,,,
7,"d","Illinois",12000,12000,950,8,360,870,7
7,"d","Indiana",14500,15500,440,3,150,1100,7
7,"d","Iowa",71000,71000,1800,3,670,720,1
7,"d","Kansas",3300,5500,400,7,150,80,1
7,"d","Kentucky",8000,8000,740,9,660,540,7
7,"d","Louisiana",46000,46000,3300,7,4600,6000,13
7,"d","Maine",6000,6000,1400,23,40,220,4
7,"d","Maryland",4100,4200,170,4,400,840,20
7,"d","Massachusetts",9000,9000,380,4,160,470,5
7,"d","Michigan",91000,105000,8500,8,1600,4800,5
7,"d","",,,,,,,
7,"d","Minnesota",71000,72000,5500,8,600,2200,3
7,"d","Mississippi",27000,28000,4100,15,1100,120,"(Z)"
7,"d","Missouri",13500,13500,880,7,700,320,2
7,"d","Montana",84000,98000,6500,7,2200,6000,6
7,"d","Nebraska",32000,52000,4800,9,540,3100,6
7,"d","New Jersey",20000,22000,440,2,1000,1300,6
7,"d","New Mexico",4600,6000,500,8,1000,450,8
7,"d","New York",65000,65000,2900,4,2000,5500,8
7,"d","North Carolina",26000,26000,3400,13,2400,2800,11
7,"d","North Dakota",420000,480000,62000,13,9000,13500,3
7,"d","",,,,,,,
7,"d","Ohio",26000,27000,1600,6,380,1500,6
7,"d","Oklahoma",2500,3200,200,6,20,30,1
7,"d","Oregon",101000,112000,11500,10,5000,28000,25
7,"d","Pennsylvania",32000,32000,1300,4,1400,1000,3
7,"d","South Carolina",15000,16000,2300,14,1100,700,4
7,"d","South Dakota",141000,200000,20000,10,750,2300,1
7,"d","Tennessee",13000,14500,1900,13,900,1100,8
7,"d","Texas",188000,205000,7500,4,2800,1100,1
7,"d","Utah",22000,22000,2300,10,5500,1500,7
7,"d","Vermont",10000,10000,170,2,680,80,1
7,"d","",,,,,,,
7,"d","Virginia",11500,11500,1000,9,880,690,6
7,"d","Washington",67000,82000,2400,3,1900,3300,4
7,"d","West Virginia",7500,8000,230,3,400,790,10
7,"d","Wisconsin",59000,59000,7000,12,1500,3400,6
7,"d","Wyoming",23000,23000,860,"(Z)",1600,2000,9
7,"d","",,,,,,,
7,"d","Other States 5/",20160,21660,740,3,1260,950,4
7,"d","",,,,,,,
7,"d","United States",2923860,"(X)",281720,10,147310,209200,7
7,"c",""
7,"f","(X)  Not applicable."
7,"f","(Z)  Less than half of the unit shown."
7,"f","1/ July 1 colonies plus all colonies moved into that state during the quarter."
7,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the July 1 colonies."
7,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
7,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the July 1 colonies."
7,"f","5/ Includes data for States not published in this table."
