8,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
8,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: October 1, 2023 and October-December 2023"
8,"h","","","","","","","",""
8,"h","","","October-December","October-December","October-December","October-December","October-December","October-December"
8,"h","State","October 1","","","","","",""
8,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
8,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
8,"h","","","","","","","",""
8,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
8,"d","Alabama",10500,10500,760,7,420,80,1
8,"d","Arizona",28000,28000,5500,20,3200,700,3
8,"d","Arkansas",37000,37000,3100,8,330,10,"(Z)"
8,"d","California",570000,1000000,64000,6,60000,52000,5
8,"d","Colorado",15500,15500,980,6,-,180,1
8,"d","Connecticut",4100,4100,480,12,-,10,"(Z)"
8,"d","Florida",305000,335000,33000,10,22000,19500,6
8,"d","Georgia",127000,140000,25000,18,4000,15500,11
8,"d","Idaho",148000,215000,4000,2,1400,5000,2
8,"d","",,,,,,,
8,"d","Illinois",10500,11000,740,7,200,210,2
8,"d","Indiana",15000,15000,4100,27,150,620,4
8,"d","Iowa",70000,70000,1700,2,530,120,"(Z)"
8,"d","Kansas",3300,3300,800,24,110,40,1
8,"d","Kentucky",8000,8000,860,11,270,660,8
8,"d","Louisiana",39000,44000,1700,4,1100,3200,7
8,"d","Maine",4300,4300,220,5,260,60,1
8,"d","Maryland",4400,6500,1900,29,500,340,5
8,"d","Massachusetts",5500,5500,590,11,40,70,1
8,"d","Michigan",75000,75000,7500,10,260,3200,4
8,"d","",,,,,,,
8,"d","Minnesota",57000,57000,6000,11,1000,290,1
8,"d","Mississippi",25000,34000,3500,10,440,1800,5
8,"d","Missouri",13500,14000,600,4,30,750,5
8,"d","Montana",84000,87000,2600,3,420,3300,4
8,"d","Nebraska",39000,42000,5500,13,940,560,1
8,"d","New Jersey",23000,23000,770,3,530,120,1
8,"d","New Mexico",6500,6500,1100,17,30,110,2
8,"d","New York",54000,58000,5000,9,420,1300,2
8,"d","North Carolina",25000,27000,2900,11,430,500,2
8,"d","North Dakota",360000,365000,8000,2,10000,7500,2
8,"d","",,,,,,,
8,"d","Ohio",13000,16000,1200,8,90,270,2
8,"d","Oklahoma",1700,17500,100,1,10,20,"(Z)"
8,"d","Oregon",107000,113000,6500,6,760,10000,9
8,"d","Pennsylvania",25000,25000,2300,9,1300,820,3
8,"d","South Carolina",15000,18000,1300,7,530,1200,7
8,"d","South Dakota",182000,188000,2600,1,250,1400,1
8,"d","Tennessee",12500,12500,1900,15,900,250,2
8,"d","Texas",75000,220000,9500,4,400,480,"(Z)"
8,"d","Utah",23000,23000,2700,12,390,20,"(Z)"
8,"d","Vermont",6500,6500,90,1,500,-,-
8,"d","",,,,,,,
8,"d","Virginia",10500,10500,2100,20,170,450,4
8,"d","Washington",80000,92000,19000,21,40,1700,2
8,"d","West Virginia",8000,8000,930,12,2400,230,3
8,"d","Wisconsin",49000,51000,6500,13,390,380,1
8,"d","Wyoming",18500,18500,1700,"(Z)",20,-,-
8,"d","",,,,,,,
8,"d","Other States 5/",22160,22160,3200,14,1680,4350,20
8,"d","",,,,,,,
8,"d","United States",2815960,"(X)",254520,9,118840,139300,5
8,"c",""
8,"f","-  Represents zero."
8,"f","(X)  Not applicable."
8,"f","(Z)  Less than half of the unit shown."
8,"f","1/ October 1 colonies plus all colonies moved into that state during the quarter."
8,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the October 1 colonies."
8,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
8,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the October 1 colonies."
8,"f","5/ Includes data for States not published in this table."
