11,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
11,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2024 and January-March 2024"
11,"h","","","","","","","",""
11,"h","","","January-March","January-March","January-March","January-March","January-March","January-March"
11,"h","State","January 1","","","","","",""
11,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
11,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
11,"h","","","","","","","",""
11,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
11,"d","Alabama",9500,11500,1600,14,2400,860,7
11,"d","Arizona",26000,29000,1900,7,3300,670,2
11,"d","Arkansas",16000,21000,1700,8,260,120,1
11,"d","California",990000,1250000,210000,17,210000,135000,11
11,"d","Colorado",5500,10500,370,4,200,-,"(Z)"
11,"d","Connecticut",3200,4000,100,3,120,-,-
11,"d","Florida",310000,310000,24000,8,28000,10500,3
11,"d","Georgia",117000,125000,28000,22,34000,2000,2
11,"d","Idaho",195000,195000,23000,12,4200,760,"(Z)"
11,"d","",,,,,,,
11,"d","Illinois",10000,10000,2300,23,800,300,3
11,"d","Indiana",8000,9500,410,4,510,-,"(Z)"
11,"d","Iowa",56000,59000,1900,3,2700,-,"(Z)"
11,"d","Kansas",2400,4000,270,7,170,10,"(Z)"
11,"d","Kentucky",6500,6500,660,10,1100,10,"(Z)"
11,"d","Louisiana",44000,44000,8500,19,5500,2300,5
11,"d","Maine",1400,1400,300,21,400,140,10
11,"d","Maryland",5000,5000,660,13,1700,920,18
11,"d","Massachusetts",4800,4800,650,14,750,640,13
11,"d","Michigan",67000,90000,3000,3,10,-,-
11,"d","",,,,,,,
11,"d","Minnesota",25000,85000,830,1,900,210,"(Z)"
11,"d","Mississippi",28000,42000,3700,9,10500,1500,4
11,"d","Missouri",9500,11000,1100,10,600,40,"(Z)"
11,"d","Montana",36000,41000,50,"(Z)",60,-,"(Z)"
11,"d","Nebraska",17500,19500,1200,6,-,-,-
11,"d","New Jersey",12500,14500,1200,8,990,320,2
11,"d","New Mexico",4300,4300,1200,28,10,-,-
11,"d","New York",40000,40000,2300,6,140,350,1
11,"d","North Carolina",25000,27000,5500,20,5000,3100,11
11,"d","North Dakota",65000,78000,8500,11,-,-,-
11,"d","",,,,,,,
11,"d","Ohio",15000,27000,2100,8,600,150,1
11,"d","Oklahoma",17500,18000,2200,12,60,320,2
11,"d","Oregon",90000,101000,8000,8,1300,5500,5
11,"d","Pennsylvania",24000,26000,2800,11,130,600,2
11,"d","South Carolina",14000,14000,870,6,2800,820,6
11,"d","South Dakota",68000,78000,2000,3,40,50,"(Z)"
11,"d","Tennessee",11500,11500,1700,15,830,170,1
11,"d","Texas",200000,290000,28000,10,77000,46000,16
11,"d","Utah",10000,17000,980,6,460,120,1
11,"d","Vermont",7000,8000,230,3,70,20,"(Z)"
11,"d","",,,,,,,
11,"d","Virginia",7000,9500,1200,13,640,200,2
11,"d","Washington",45000,107000,6500,6,3500,570,1
11,"d","West Virginia",6000,7500,640,9,300,10,"(Z)"
11,"d","Wisconsin",31000,55000,1600,3,600,120,"(Z)"
11,"d","Wyoming",1900,13000,490,4,-,10,"(Z)"
11,"d","",,,,,,,
11,"d","Other States 5/",17350,18730,2610,14,1450,660,4
11,"d","",,,,,,,
11,"d","United States",2705350,"(X)",396820,15,404100,215070,8
11,"c",""
11,"f","-  Represents zero."
11,"f","(X)  Not applicable."
11,"f","(Z)  Less than half of the unit shown."
11,"f","1/ January 1 colonies plus all colonies moved into that state during the quarter."
11,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the January 1 colonies."
11,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
11,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the January 1 colonies."
11,"f","5/ Includes data for States not published in this table."
