22,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
22,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2024 and April-June 2024"
22,"h","","","","","","","",""
22,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
22,"h","State","April 1","","","","","",""
22,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
22,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
22,"h","","","","","","","",""
22,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
22,"d","Alabama",12500,13000,1300,10,2900,2700,21
22,"d","Arizona",30000,32000,13500,42,18500,7000,22
22,"d","Arkansas",19500,21000,2800,13,5000,430,2
22,"d","California",890000,930000,54000,6,148000,113000,12
22,"d","Colorado",10500,18500,290,2,1100,450,2
22,"d","Connecticut",4100,4100,140,3,960,770,19
22,"d","Florida",280000,285000,42000,15,60000,11000,4
22,"d","Georgia",131000,133000,13000,10,16000,10500,8
22,"d","Idaho",112000,130000,8000,6,26000,29000,22
22,"d","",,,,,,,
22,"d","Illinois",8500,8500,800,9,4000,1700,20
22,"d","Indiana",9500,10000,420,4,3200,1000,10
22,"d","Iowa",45000,46000,3300,7,6000,9000,20
22,"d","Kansas",3900,6000,480,8,2100,960,16
22,"d","Kentucky",7000,17000,1200,7,1000,600,4
22,"d","Louisiana",36000,36000,1800,5,3700,300,1
22,"d","Maine",1500,9500,850,9,1100,370,4
22,"d","Maryland",6000,6000,320,5,2900,700,12
22,"d","Massachusetts",4900,5500,220,4,790,630,11
22,"d","Michigan",87000,95000,8000,8,21000,15500,16
22,"d","",,,,,,,
22,"d","Minnesota",86000,112000,1800,2,20000,11000,10
22,"d","Mississippi",49000,49000,5000,10,13500,6000,12
22,"d","Missouri",10500,10500,540,5,2000,480,5
22,"d","Montana",20000,92000,520,1,11000,10000,11
22,"d","Nebraska",11000,24000,1200,5,10500,9500,40
22,"d","New Jersey",14500,15000,710,5,2300,640,4
22,"d","New Mexico",2000,2000,290,15,1100,540,27
22,"d","New York",31000,50000,1600,3,3500,3000,6
22,"d","North Carolina",26000,26000,1700,7,6000,5000,19
22,"d","North Dakota",49000,395000,16000,4,7000,22000,6
22,"d","",,,,,,,
22,"d","Ohio",26000,26000,660,3,4900,4700,18
22,"d","Oklahoma",13000,15500,1300,8,7500,4100,26
22,"d","Oregon",95000,105000,9000,9,21000,13500,13
22,"d","Pennsylvania",22000,25000,1600,6,5500,1500,6
22,"d","South Carolina",13500,14500,430,3,2200,4900,34
22,"d","South Dakota",16500,183000,5500,3,16500,1900,1
22,"d","Tennessee",10500,12000,800,7,1400,670,6
22,"d","Texas",285000,295000,43000,15,98000,173000,59
22,"d","Utah",16500,20000,1500,8,4400,2000,10
22,"d","Vermont",8000,8000,130,2,270,320,4
22,"d","",,,,,,,
22,"d","Virginia",9000,9500,450,5,3000,2000,21
22,"d","Washington",106000,128000,35000,27,20000,24000,19
22,"d","West Virginia",6500,6500,380,6,1100,520,8
22,"d","Wisconsin",55000,67000,3800,6,20000,11000,16
22,"d","Wyoming",12000,21000,1400,7,7500,1800,9
22,"d","",,,,,,,
22,"d","Other States 5/",16970,23710,1460,6,3000,2110,9
22,"d","",,,,,,,
22,"d","United States",2709370,"(X)",288190,11,617420,521790,19
22,"c",""
22,"f","(X)  Not applicable."
22,"f","1/ April 1 number of colonies plus all colonies moved into that state during the quarter."
22,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 number of colonies."
22,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
22,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 number of colonies."
22,"f","5/ Includes data for States not published in this table."
