5,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2023 and January-March 2023"
5,"h","","","","","","","",""
5,"h","","","January-March","January-March","January-March","January-March","January-March","January-March"
5,"h","State","January 1","","","","","",""
5,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
5,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
5,"h","","","","","","","",""
5,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
5,"d","Alabama",11000,15500,1400,9,2000,880,6
5,"d","Arizona",34000,34000,510,2,290,80,"(Z)"
5,"d","Arkansas",21000,23000,2200,10,1200,10,"(Z)"
5,"d","California",1020000,1330000,196000,15,88000,48000,4
5,"d","Colorado",10500,10500,520,5,520,-,-
5,"d","Connecticut",3600,4000,360,9,560,70,2
5,"d","Florida",270000,305000,34000,11,51000,18500,6
5,"d","Georgia",121000,121000,13000,11,18500,8000,7
5,"d","Idaho",165000,167000,12500,7,4000,8000,5
5,"d","",,,,,,,
5,"d","Illinois",9000,9500,1800,19,1800,320,3
5,"d","Indiana",7000,10000,1300,13,300,40,"(Z)"
5,"d","Iowa",50000,64000,1700,3,210,240,"(Z)"
5,"d","Kansas",3300,3900,490,13,940,20,1
5,"d","Kentucky",9500,10500,1100,10,260,80,1
5,"d","Louisiana",29000,38000,4800,13,6000,3700,10
5,"d","Maine",2600,7500,290,4,190,130,2
5,"d","Maryland",6000,6000,1100,18,670,140,2
5,"d","Massachusetts",6000,8000,820,10,200,80,1
5,"d","Michigan",59000,64000,9000,14,330,2100,3
5,"d","",,,,,,,
5,"d","Minnesota",41000,57000,1100,2,30,1600,3
5,"d","Mississippi",29000,37000,2300,6,65000,4100,11
5,"d","Missouri",6500,9000,940,10,1400,100,1
5,"d","Montana",23000,51000,70,"(Z)",-,-,-
5,"d","Nebraska",17000,23000,1100,5,-,-,-
5,"d","New Jersey",12500,14500,1300,9,530,110,1
5,"d","New Mexico",8500,8500,4600,54,460,760,9
5,"d","New York",40000,40000,8000,20,560,510,1
5,"d","North Carolina",26000,30000,4100,14,2200,2800,9
5,"d","North Dakota",82000,89000,2400,3,2700,1000,1
5,"d","",,,,,,,
5,"d","Ohio",17500,21000,2500,12,190,160,1
5,"d","Oklahoma",16500,17000,1600,9,10,-,-
5,"d","Oregon",77000,97000,8000,8,1500,500,1
5,"d","Pennsylvania",27000,29000,4800,17,430,490,2
5,"d","South Carolina",14500,16000,1700,11,2700,800,5
5,"d","South Dakota",93000,93000,2200,2,-,-,-
5,"d","Tennessee",11000,12000,1800,15,2100,40,"(Z)"
5,"d","Texas",171000,300000,20000,7,62000,8500,3
5,"d","Utah",19000,24000,2600,11,900,360,2
5,"d","Vermont",10000,10000,400,4,30,40,"(Z)"
5,"d","",,,,,,,
5,"d","Virginia",9500,10500,1200,11,470,150,1
5,"d","Washington",65000,99000,13500,14,270,250,"(Z)"
5,"d","West Virginia",5000,6000,600,10,40,40,1
5,"d","Wisconsin",27000,29000,3300,11,1400,270,1
5,"d","Wyoming",15000,17000,150,1,-,-,-
5,"d","",,,,,,,
5,"d","Other States 5/",28750,31050,730,2,2510,470,2
5,"d","",,,,,,,
5,"d","United States",2729750,"(X)",373880,14,324400,113440,4
5,"c",""
5,"f","-  Represents zero."
5,"f","(X)  Not applicable."
5,"f","(Z)  Less than half of the unit shown."
5,"f","1/ January 1 colonies plus all colonies moved into that state during the quarter."
5,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the January 1 colonies."
5,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
5,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the January 1 colonies."
5,"f","5/ Includes data for States not published in this table."
1,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2023 and April-June 2023"
1,"h","","","","","","","",""
1,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","April 1","","","","","",""
1,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama",16000,16000,2100,13,4800,4200,26
1,"d","Arizona",34000,34000,8500,25,4900,2400,7
1,"d","Arkansas",22000,24000,11000,46,6500,2200,9
1,"d","California",910000,940000,152000,16,139000,112000,12
1,"d","Colorado",10000,33000,1100,3,4500,1500,5
1,"d","Connecticut",4200,4200,230,5,690,800,19
1,"d","Florida",250000,295000,50000,17,58000,23000,8
1,"d","Georgia",129000,132000,31000,23,25000,45000,34
1,"d","Idaho",82000,132000,7000,5,22000,11000,8
1,"d","",,,,,,,
1,"d","Illinois",9500,9500,530,6,3300,700,7
1,"d","Indiana",9000,10500,320,3,4100,1500,14
1,"d","Iowa",63000,69000,3400,5,11500,2700,4
1,"d","Kansas",2500,3300,760,23,1600,360,11
1,"d","Kentucky",9000,9500,550,6,1000,450,5
1,"d","Louisiana",39000,44000,2700,6,4400,9000,20
1,"d","Maine",7500,15500,1000,6,510,1100,7
1,"d","Maryland",5500,5500,200,4,710,730,13
1,"d","Massachusetts",7500,10500,1500,14,1300,510,5
1,"d","Michigan",46000,85000,4200,5,9500,3700,4
1,"d","",,,,,,,
1,"d","Minnesota",56000,76000,2600,3,12500,1700,2
1,"d","Mississippi",70000,72000,3500,5,12000,8000,11
1,"d","Missouri",9500,10000,390,4,4600,910,9
1,"d","Montana",51000,97000,4500,5,22000,18500,19
1,"d","Nebraska",8000,28000,1200,4,10000,2300,8
1,"d","New Jersey",14000,19500,720,4,1000,520,3
1,"d","New Mexico",4300,4300,230,5,530,250,6
1,"d","New York",31000,60000,1800,3,6500,2100,4
1,"d","North Carolina",28000,28000,2300,8,9000,5500,20
1,"d","North Dakota",62000,410000,23000,6,35000,4200,1
1,"d","",,,,,,,
1,"d","Ohio",18500,19500,1200,6,8000,5000,26
1,"d","Oklahoma",10000,13000,320,2,6000,2900,22
1,"d","Oregon",91000,95000,23000,24,29000,31000,33
1,"d","Pennsylvania",25000,29000,1700,6,8000,2200,8
1,"d","South Carolina",17000,17500,1200,7,2800,2600,15
1,"d","South Dakota",13000,146000,2600,2,11500,26000,18
1,"d","Tennessee",12500,13500,920,7,3900,2500,19
1,"d","Texas",340000,360000,16500,5,85000,119000,33
1,"d","Utah",15500,18500,3700,20,9500,2500,14
1,"d","Vermont",9500,9500,160,2,990,210,2
1,"d","",,,,,,,
1,"d","Virginia",9000,10500,670,6,4000,1300,12
1,"d","Washington",87000,123000,4400,4,18500,15500,13
1,"d","West Virginia",5500,6500,350,5,1300,1000,15
1,"d","Wisconsin",15500,54000,570,1,5500,1300,2
1,"d","Wyoming",16500,19000,1400,7,5000,2200,12
1,"d","",,,,,,,
1,"d","Other States 5/",31270,32700,1170,4,2920,3600,11
1,"d","",,,,,,,
1,"d","United States",2706270,"(X)",378190,14,618350,485640,18
1,"c",""
1,"f","(X)  Not applicable."
1,"f","1/ April 1 colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 colonies."
1,"f","5/ Includes data for States not published in this table."
7,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: July 1, 2023 and July-September 2023"
7,"h","","","","","","","",""
7,"h","","","July-September","July-September","July-September","July-September","July-September","July-September"
7,"h","State","July 1","","","","","",""
7,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
7,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","Renovated 4/"
7,"h","","","","","","","",""
7,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
7,"d","Alabama",15000,15000,2400,16,1200,2700,18
7,"d","Arizona",30000,30000,4600,15,3000,790,3
7,"d","Arkansas",19500,34000,1000,3,3600,390,1
7,"d","California",570000,600000,32000,5,21000,61000,10
7,"d","Colorado",23000,26000,6500,25,170,2300,9
7,"d","Connecticut",3700,4100,120,3,140,150,4
7,"d","Florida",245000,290000,34000,12,44000,21000,7
7,"d","Georgia",126000,133000,23000,17,17000,10500,8
7,"d","Idaho",125000,154000,8000,5,1800,11000,7
7,"d","",,,,,,,
7,"d","Illinois",12000,12000,950,8,360,870,7
7,"d","Indiana",14500,15500,440,3,150,1100,7
7,"d","Iowa",71000,71000,1800,3,670,720,1
7,"d","Kansas",3300,5500,400,7,150,80,1
7,"d","Kentucky",8000,8000,740,9,660,540,7
7,"d","Louisiana",46000,46000,3300,7,4600,6000,13
7,"d","Maine",6000,6000,1400,23,40,220,4
7,"d","Maryland",4100,4200,170,4,400,840,20
7,"d","Massachusetts",9000,9000,380,4,160,470,5
7,"d","Michigan",91000,105000,8500,8,1600,4800,5
7,"d","",,,,,,,
7,"d","Minnesota",71000,72000,5500,8,600,2200,3
7,"d","Mississippi",27000,28000,4100,15,1100,120,"(Z)"
7,"d","Missouri",13500,13500,880,7,700,320,2
7,"d","Montana",84000,98000,6500,7,2200,6000,6
7,"d","Nebraska",32000,52000,4800,9,540,3100,6
7,"d","New Jersey",20000,22000,440,2,1000,1300,6
7,"d","New Mexico",4600,6000,500,8,1000,450,8
7,"d","New York",65000,65000,2900,4,2000,5500,8
7,"d","North Carolina",26000,26000,3400,13,2400,2800,11
7,"d","North Dakota",420000,480000,62000,13,9000,13500,3
7,"d","",,,,,,,
7,"d","Ohio",26000,27000,1600,6,380,1500,6
7,"d","Oklahoma",2500,3200,200,6,20,30,1
7,"d","Oregon",101000,112000,11500,10,5000,28000,25
7,"d","Pennsylvania",32000,32000,1300,4,1400,1000,3
7,"d","South Carolina",15000,16000,2300,14,1100,700,4
7,"d","South Dakota",141000,200000,20000,10,750,2300,1
7,"d","Tennessee",13000,14500,1900,13,900,1100,8
7,"d","Texas",188000,205000,7500,4,2800,1100,1
7,"d","Utah",22000,22000,2300,10,5500,1500,7
7,"d","Vermont",10000,10000,170,2,680,80,1
7,"d","",,,,,,,
7,"d","Virginia",11500,11500,1000,9,880,690,6
7,"d","Washington",67000,82000,2400,3,1900,3300,4
7,"d","West Virginia",7500,8000,230,3,400,790,10
7,"d","Wisconsin",59000,59000,7000,12,1500,3400,6
7,"d","Wyoming",23000,23000,860,"(Z)",1600,2000,9
7,"d","",,,,,,,
7,"d","Other States 5/",20160,21660,740,3,1260,950,4
7,"d","",,,,,,,
7,"d","United States",2923860,"(X)",281720,10,147310,209200,7
7,"c",""
7,"f","(X)  Not applicable."
7,"f","(Z)  Less than half of the unit shown."
7,"f","1/ July 1 colonies plus all colonies moved into that state during the quarter."
7,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the July 1 colonies."
7,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
7,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the July 1 colonies."
7,"f","5/ Includes data for States not published in this table."
8,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
8,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: October 1, 2023 and October-December 2023"
8,"h","","","","","","","",""
8,"h","","","October-December","October-December","October-December","October-December","October-December","October-December"
8,"h","State","October 1","","","","","",""
8,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
8,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
8,"h","","","","","","","",""
8,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
8,"d","Alabama",10500,10500,760,7,420,80,1
8,"d","Arizona",28000,28000,5500,20,3200,700,3
8,"d","Arkansas",37000,37000,3100,8,330,10,"(Z)"
8,"d","California",570000,1000000,64000,6,60000,52000,5
8,"d","Colorado",15500,15500,980,6,-,180,1
8,"d","Connecticut",4100,4100,480,12,-,10,"(Z)"
8,"d","Florida",305000,335000,33000,10,22000,19500,6
8,"d","Georgia",127000,140000,25000,18,4000,15500,11
8,"d","Idaho",148000,215000,4000,2,1400,5000,2
8,"d","",,,,,,,
8,"d","Illinois",10500,11000,740,7,200,210,2
8,"d","Indiana",15000,15000,4100,27,150,620,4
8,"d","Iowa",70000,70000,1700,2,530,120,"(Z)"
8,"d","Kansas",3300,3300,800,24,110,40,1
8,"d","Kentucky",8000,8000,860,11,270,660,8
8,"d","Louisiana",39000,44000,1700,4,1100,3200,7
8,"d","Maine",4300,4300,220,5,260,60,1
8,"d","Maryland",4400,6500,1900,29,500,340,5
8,"d","Massachusetts",5500,5500,590,11,40,70,1
8,"d","Michigan",75000,75000,7500,10,260,3200,4
8,"d","",,,,,,,
8,"d","Minnesota",57000,57000,6000,11,1000,290,1
8,"d","Mississippi",25000,34000,3500,10,440,1800,5
8,"d","Missouri",13500,14000,600,4,30,750,5
8,"d","Montana",84000,87000,2600,3,420,3300,4
8,"d","Nebraska",39000,42000,5500,13,940,560,1
8,"d","New Jersey",23000,23000,770,3,530,120,1
8,"d","New Mexico",6500,6500,1100,17,30,110,2
8,"d","New York",54000,58000,5000,9,420,1300,2
8,"d","North Carolina",25000,27000,2900,11,430,500,2
8,"d","North Dakota",360000,365000,8000,2,10000,7500,2
8,"d","",,,,,,,
8,"d","Ohio",13000,16000,1200,8,90,270,2
8,"d","Oklahoma",1700,17500,100,1,10,20,"(Z)"
8,"d","Oregon",107000,113000,6500,6,760,10000,9
8,"d","Pennsylvania",25000,25000,2300,9,1300,820,3
8,"d","South Carolina",15000,18000,1300,7,530,1200,7
8,"d","South Dakota",182000,188000,2600,1,250,1400,1
8,"d","Tennessee",12500,12500,1900,15,900,250,2
8,"d","Texas",75000,220000,9500,4,400,480,"(Z)"
8,"d","Utah",23000,23000,2700,12,390,20,"(Z)"
8,"d","Vermont",6500,6500,90,1,500,-,-
8,"d","",,,,,,,
8,"d","Virginia",10500,10500,2100,20,170,450,4
8,"d","Washington",80000,92000,19000,21,40,1700,2
8,"d","West Virginia",8000,8000,930,12,2400,230,3
8,"d","Wisconsin",49000,51000,6500,13,390,380,1
8,"d","Wyoming",18500,18500,1700,"(Z)",20,-,-
8,"d","",,,,,,,
8,"d","Other States 5/",22160,22160,3200,14,1680,4350,20
8,"d","",,,,,,,
8,"d","United States",2815960,"(X)",254520,9,118840,139300,5
8,"c",""
8,"f","-  Represents zero."
8,"f","(X)  Not applicable."
8,"f","(Z)  Less than half of the unit shown."
8,"f","1/ October 1 colonies plus all colonies moved into that state during the quarter."
8,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the October 1 colonies."
8,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
8,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the October 1 colonies."
8,"f","5/ Includes data for States not published in this table."
11,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
11,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2024 and January-March 2024"
11,"h","","","","","","","",""
11,"h","","","January-March","January-March","January-March","January-March","January-March","January-March"
11,"h","State","January 1","","","","","",""
11,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
11,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
11,"h","","","","","","","",""
11,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
11,"d","Alabama",9500,11500,1600,14,2400,860,7
11,"d","Arizona",26000,29000,1900,7,3300,670,2
11,"d","Arkansas",16000,21000,1700,8,260,120,1
