27,"t","Honey: Released March 15, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
27,"t","Income and Expenditures – United States: 2022 and 2023"
27,"t","[Represents income and expenditures on the total number of colonies, regardless of whether honey was harvested]"
27,"h","","",""
27,"h","Item","2022","2023"
27,"h","","",""
27,"u","","(1,000 dollars)","(1,000 dollars)"
27,"d","Income",,
27,"d","Pollination income",241042,254945
27,"d","Other income 1/",55188,57720
27,"d","",,
27,"d","Expenditures",,
27,"d","Varroa control and treatment",13724,15112
27,"d","Other colony issues 2/",5096,4967
27,"d","Feed 3/",44517,46868
27,"d","Foundation",6934,5753
27,"d","Hives/woodenware",10835,10496
27,"c",""
27,"f","1/ Includes sales of queens, queen cells, beeswax, propolis, etc."
27,"f","2/ Includes Nosema, tracheal mites, foulbrood, paralysis, Kashmir, cloudy wing, etc."
27,"f","3/ Includes syrup, sugar water, honey, pollen patties, and other feeds."
